company,repository,link,hash,subject,message,changed_file,commit_labels,file_labels
fujitsu,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/2f1a725219cb434028719ad0bdef13d19660bd49,2f1a725219cb434028719ad0bdef13d19660bd49,Remove unnecessary indent to avoid blockquote,Change-Id: I3bc17332f771bb0eac9896762bbe3a0abe88560d," 1 file changed, 7 insertions(+), 7 deletions(-)",deprecate,doc-1
lsd ufcg,puppet-openstack-guide,http://github.com/openstack/puppet-openstack-guide/commit/a32eaaf852a62ab44daab7de14f70a5a3bd227eb,a32eaaf852a62ab44daab7de14f70a5a3bd227eb,Fix Blueprints url,Change-Id: I4670c670e84d6aa7c9c0202be782f6ed462ece56," 1 file changed, 1 insertion(+), 1 deletion(-)",fix;feature,doc-1
seznam.cz,swauth,http://github.com/openstack/swauth/commit/5c76099efd8fa07bf6e63376abf068fc8ca518d9,5c76099efd8fa07bf6e63376abf068fc8ca518d9,More authtypes validation checks,Change-Id: I47e139dc100333e2befc362196ede1b238ee0588," 3 files changed, 154 insertions(+), 24 deletions(-)",,test-1;code-1
midokura,networking-midonet,http://github.com/openstack/networking-midonet/commit/2b298c60a9f0633931553c3d9207a968bc4ad84a,2b298c60a9f0633931553c3d9207a968bc4ad84a,devstackgaterc: Enable test_firewall_admin_disable,Change-Id: I48fde29a6e4bbac2ac969ce7a341da76ff324658Related-Bug: #1535185Related-Bug: #1535981Related-Bug: #1537969," 8 files changed, 358 insertions(+), 13 deletions(-)",fix,deploy-1
midokura,puppet-midonet,http://github.com/openstack/puppet-midonet/commit/bce8b4ee81b1d4b1d1670391d375616030ff7dff,bce8b4ee81b1d4b1d1670391d375616030ff7dff,Changes default heap size for midonet,Change-Id: I4a759a546359fedeed829fe3118958f7c040dd1e," 2 files changed, 3 insertions(+), 3 deletions(-)",,deploy-2
axilera,broadview-collector,http://github.com/openstack/broadview-collector/commit/9fd350b18d3ae16057b0455fa38f8e2aef86437c,9fd350b18d3ae16057b0455fa38f8e2aef86437c,"Minor changes to support running outside of OpenStack environment, plus some bug fixes",Change-Id: I4b274f8bfab592322088aff7b0f4761ace6312ff," 7 files changed, 46 insertions(+), 20 deletions(-)",fix,doc-1;code-6
tcp cloud,salt-formula-opencontrail,http://github.com/openstack/salt-formula-opencontrail/commit/d63c562c9d08883ca00038e941b2b56e985b78e8,d63c562c9d08883ca00038e941b2b56e985b78e8,"Add makefile, run tests during package build",Change-Id: I4c08752d18cf31e87974b7aedd623225bec30da0," 4 files changed, 38 insertions(+), 12 deletions(-)",,test-1;unknown-3
nokia,vitrage,http://github.com/openstack/vitrage/commit/c1e35f88df5771cdc781e5b32e4c50039e5fbcac,c1e35f88df5771cdc781e5b32e4c50039e5fbcac,remove notifier call from evaluator,Change-Id: I4c5521bb2c8aa01c4a86373e2ae9aecb0215a203," 7 files changed, 9 insertions(+), 81 deletions(-)",deprecate,test-1;code-6
at&t,congress,http://github.com/openstack/congress/commit/d526bdc6abe42b8ec498fb79c141bdcf214a6731,d526bdc6abe42b8ec498fb79c141bdcf214a6731,Removed extra dashes in title lines,Change-Id: I4d0549965f198092f11034a6a8c129de291ae3f0Closes-Bug: #1605345," 2 files changed, 8 insertions(+), 7 deletions(-)",fix;deprecate,doc-2
nokia,vitrage,http://github.com/openstack/vitrage/commit/b4bbd62b5a95f9247865bc0aae66b909dbb58b4e,b4bbd62b5a95f9247865bc0aae66b909dbb58b4e,template show - API handler and Controller,Change-Id: I4d15029cfbb2868e2eef2e6b971ffb02bd1e7c62," 4 files changed, 47 insertions(+), 5 deletions(-)",,code-3;deploy-1
lsd ufcg,puppet-openstack-guide,http://github.com/openstack/puppet-openstack-guide/commit/65a29e8427bda7ae4b80883db3dae20ab2ea9251,65a29e8427bda7ae4b80883db3dae20ab2ea9251,Update meetings 7th June,Change-Id: I4d95bceb9d86377fbb15dbbdb19bb1c543305e40," 1 file changed, 10 insertions(+), 5 deletions(-)",,doc-1
mirantis,stackalytics,http://github.com/openstack/stackalytics/commit/99a8e018589c6779cb9154b9b35257053e2fee2f,99a8e018589c6779cb9154b9b35257053e2fee2f,fuel-python created to track repositories related to python team,Change-Id: I50a5b5d857ff8c5563bc6661720fd1bd76b86285," 1 file changed, 5 insertions(+), 1 deletion(-)",,deploy-1
mirantis,fuel-plugin-openstack-telemetry,http://github.com/openstack/fuel-plugin-openstack-telemetry/commit/7d7213bbe81a251960016f7648a20186b2935452,7d7213bbe81a251960016f7648a20186b2935452,Fixes order of scripts execution,Change-Id: I512a3c969e1aa488e6b2cb35ba3c49792dd5fff0," 1 file changed, 1 insertion(+), 1 deletion(-)",fix,deploy-1
chinac,stackalytics,http://github.com/openstack/stackalytics/commit/2f06820614c12358c4eac2d7326f5e89f9097ab4,2f06820614c12358c4eac2d7326f5e89f9097ab4,Update for liusu,Change-Id: I52b77d5ba4888d983db793dc0f90b76b1a633ba9," 1 file changed, 15 insertions(+), 1 deletion(-)",,deploy-1
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/7c44fb1a4f85bd6a25a7355b2a14add8d838c933,7c44fb1a4f85bd6a25a7355b2a14add8d838c933,[config-ref] Update loadbalancer configuration files,Change-Id: I53a12d477775c32a826e7aca1b03aac3bb371238," 3 files changed, 114 insertions(+), 238 deletions(-)",,doc-3
swiftstack,swift3,http://github.com/openstack/swift3/commit/2d4e1832c88eff02796ee098e379d7d25899caeb,2d4e1832c88eff02796ee098e379d7d25899caeb,Fix assorted typos,Change-Id: I54c018c7044224f0365f4f378cf75013e0746731," 19 files changed, 42 insertions(+), 42 deletions(-)",fix,test-10;code-9
t2cloud,python-tatuclient,http://github.com/openstack/python-tatuclient/commit/6e2ac19b809cdcbace64fdf0db000ae1449ec87b,6e2ac19b809cdcbace64fdf0db000ae1449ec87b,Add oslo.config to test-requirements,Change-Id: I54f97134d895944748e455e60d18789b5cd5344a," 1 file changed, 1 insertion(+), 1 deletion(-)",,build-1
kylin cloud,bilean,http://github.com/openstack/bilean/commit/711c54e6d225b06cf3a144f48fc7cc8b651099e8,711c54e6d225b06cf3a144f48fc7cc8b651099e8,Add consumptions API support.,Change-Id: I56a60b98801fce9de6a792371d3ca60ed5712c56," 7 files changed, 214 insertions(+), 8 deletions(-)",,code-7
citrix,fuel-plugin-xenserver,http://github.com/openstack/fuel-plugin-xenserver/commit/5090de8fc618f9fc1de71e579f10b59000350ab0,5090de8fc618f9fc1de71e579f10b59000350ab0,Update docs as requested by Mirantis,Change-Id: I5725fa1992d6562a5ffb89a6f0897e04e1240277," 8 files changed, 55 insertions(+), 43 deletions(-)",,test-2;unknown-1;doc-5
fujitsu,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/67c670e1b55dc5c495b3b534d98cf31a1036508b,67c670e1b55dc5c495b3b534d98cf31a1036508b,[cli-ref] Update python-watcherclient to 0.27.0,Change-Id: I5b3a40dc051dc5d4451cb54ec184bb80f847a8b5," 1 file changed, 109 insertions(+), 30 deletions(-)",,doc-1
walmart,openstack-ansible-os_glance,http://github.com/openstack/openstack-ansible-os_glance/commit/b59dcf5abae4ca000b36c68c240e335d3225dfa2,b59dcf5abae4ca000b36c68c240e335d3225dfa2,Add apt-get update to run_tests,Change-Id: I5bb0549b87311cb29dabbcb990ca8739de3ba864," 1 file changed, 4 insertions(+), 4 deletions(-)",,test-1
thales,python-keystoneclient,http://github.com/openstack/python-keystoneclient/commit/b0de0cefd7fe6304abc97ffd35900a19b380c5e4,b0de0cefd7fe6304abc97ffd35900a19b380c5e4,Remove unused iso8601 requirement,Change-Id: I5c43812f008af086b315289112cdac4f77a07834," 6 files changed, 47 insertions(+), 879 deletions(-)",deprecate,build-1
charter,puppet-monasca,http://github.com/openstack/puppet-monasca/commit/57cf143e29f451e7162d0298be37dd897a5c87d5,57cf143e29f451e7162d0298be37dd897a5c87d5,Ensure all servers are listed (beyond osapi_max_limit),Change-Id: I5d99b5c8b9b1b396040fe7ee19d2333d8a82ce29," 1 file changed, 2 insertions(+), 1 deletion(-)",,unknown-1
infn national institute for nuclear physics,synergy-service,http://github.com/openstack/synergy-service/commit/07b77461a25619b004ed3a298e8e9f3092b7b53d,07b77461a25619b004ed3a298e8e9f3092b7b53d,Release v1.1.0,Change-Id: I5e28616b130376cb8f179d016c3a9908282afbc0," 3 files changed, 16 insertions(+), 3 deletions(-)",,unknown-2;deploy-1
99cloud,karbor,http://github.com/openstack/karbor/commit/d7559aba9721bdaf0f0a03addacc1ce3abb02c12,d7559aba9721bdaf0f0a03addacc1ce3abb02c12,Fix cmd provider list not returning the value of extended_info_schema,Change-Id: I639790da57d4d1d3e59b59742ae5ee45896bf60bCloses-Bug:#1589390," 1 file changed, 2 insertions(+), 1 deletion(-)",fix,code-1
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/6a90f2309b0a2ce4ead36fa88649a598bd6a8990,6a90f2309b0a2ce4ead36fa88649a598bd6a8990,[cli-ref] Update python-senlinclient to 1.0.0,Change-Id: I653e123cd8103044b68e78592bab11fc44ffe7b1," 1 file changed, 201 insertions(+), 29 deletions(-)",,doc-1
fujitsu,glance,https://github.com/openstack/glance/commit/4f64751285042a0818befb96b3bc02f5692d2e17,4f64751285042a0818befb96b3bc02f5692d2e17,Fix typo: remove redundant 'the',Change-Id: I65c54b4718825a42d8f88017e832d50378b187ee," 1 file changed, 1 insertion(+), 1 deletion(-)",fix;deprecate,doc-1
mellanox,networking-mlnx,http://github.com/openstack/networking-mlnx/commit/1a09d82ceb619d19056aa17b060d6252ab3a097d,1a09d82ceb619d19056aa17b060d6252ab3a097d,add domain with cloudx default value to sdn conf,Change-Id: I6607e9c27dad363f55c75055e4529dedf6a7f8f6," 3 files changed, 28 insertions(+), 10 deletions(-)",,test-1;code-1;deploy-1
swiftstack,fuel-plugin-swiftstack,http://github.com/openstack/fuel-plugin-swiftstack/commit/6315505b727b50a63d2dc85eab1ba106fb0c3be2,6315505b727b50a63d2dc85eab1ba106fb0c3be2,Change identity url port to 5000.,Change-Id: I668970177a7346bed628a3580b60a0136e828388Closes-Bug: 1591140," 2 files changed, 3 insertions(+), 3 deletions(-)",fix,doc-2
mirantis,sahara-plugin-mapr,http://github.com/openstack/sahara-plugin-mapr/commit/837bffbcfea9e00bda2bca26c0a9884b53aff10f,837bffbcfea9e00bda2bca26c0a9884b53aff10f,Add lower bound for the six dep,Change-Id: I671c554382945c71fa7669a5d3cd2c02850e8f50," 1 file changed, 1 insertion(+), 1 deletion(-)",,build-1
tcp cloud,salt-formula-opencontrail,http://github.com/openstack/salt-formula-opencontrail/commit/6234fbf7866e38fe03c2a1c2ff5f0f3a0a732282,6234fbf7866e38fe03c2a1c2ff5f0f3a0a732282,update supervisord procs count,Change-Id: I6b24cde04fdcf583e22854154c9cb6ed012fe243," 1 file changed, 2 insertions(+), 2 deletions(-)",,deploy-1
walmart,openstack-ansible-os_cinder,http://github.com/openstack/openstack-ansible-os_cinder/commit/ca4c887d9d9c65296d94ab1d39571067cd6d4ecd,ca4c887d9d9c65296d94ab1d39571067cd6d4ecd,Add apt-get update to run_tests,Change-Id: I6b9bf950541331bc1f3037e83886490ab5b847d2," 1 file changed, 4 insertions(+), 4 deletions(-)",,test-1
kylin cloud,bilean,http://github.com/openstack/bilean/commit/132891b9887d99766702e34d71886aa47b3df295,132891b9887d99766702e34d71886aa47b3df295,Auto set first policy as default policy,Change-Id: I6bd5a8f9718ac9a282c3bd409ae261072a88b8b7," 3 files changed, 12 insertions(+), 4 deletions(-)",,code-3
akanda,networking-arista,http://github.com/openstack/networking-arista/commit/5d0345cf132efccecb34984a922f484d5301ba30,5d0345cf132efccecb34984a922f484d5301ba30,Remove remaining portion of NeutronNets in favor of calling core plugin,Change-Id: I6ccde39ac866a6aecd277e676eb7b364d4f3edbe," 2 files changed, 6 insertions(+), 30 deletions(-)",deprecate,code-2
dell,fuel-ccp-glance,http://github.com/openstack/fuel-ccp-glance/commit/179705f54246d80a6186d64cafa90c25dba9ad01,179705f54246d80a6186d64cafa90c25dba9ad01,"Adding missed ""address"" for mariadb service",Change-Id: I6cd7965c292ededd39d562b8dc328198efe24e7f," 1 file changed, 1 insertion(+), 1 deletion(-)",,deploy-1
university of ljubljana,training-guides,http://github.com/openstack/training-guides/commit/3f4017e16a6030951f9562564a53bdc2e4c74928,3f4017e16a6030951f9562564a53bdc2e4c74928,Fix indenting,Change-Id: I6ce73247b2bcfe2c264e600db18d444a0e28e71b," 1 file changed, 67 insertions(+), 10 deletions(-)",fix,doc-1
citrix,fuel-plugin-xenserver,http://github.com/openstack/fuel-plugin-xenserver/commit/44525856df08508b233931f551e1657fc0e60e02,44525856df08508b233931f551e1657fc0e60e02,Remove duplicated incompatible entries,Change-Id: I6fcbba7ba3386cf0aa055d82f97d7c6b3a8c9bf5," 2 files changed, 1 insertion(+), 1 deletion(-)",deprecate,deploy-1
brocade,tacker,http://github.com/openstack/tacker/commit/a79b308897eecfe4251b982b5e6b58cac437650f,a79b308897eecfe4251b982b5e6b58cac437650f,Adding  multi-vdu and http vnf monitoring testcase with tosca-template,Change-Id: I728971a1dd84881f4f9268b1116d995e5fb2668dCloses-Bug: #1590090," 3 files changed, 192 insertions(+), 10 deletions(-)",fix,test-3
mirantis,fuel-ostf,http://github.com/openstack/fuel-ostf/commit/bceb674da7bcd6be089f200fe87f5242cbf1377f,bceb674da7bcd6be089f200fe87f5242cbf1377f,Sync python-novaclient version with global-requirements.txt,Change-Id: I735e4a16c3cff9e2e5bd0bd11de9614a6ee6b019," 1 file changed, 1 insertion(+), 1 deletion(-)",,build-1
thales,networking-ovn,http://github.com/openstack/networking-ovn/commit/d722815381e42a0d1e0572eea1bb1918abad38b1,d722815381e42a0d1e0572eea1bb1918abad38b1,Remove unused oslo.concurrency requirement,Change-Id: I74d9fef682bd83acc51c900e46454134749657e0," 1 file changed, 1 insertion(+), 1 deletion(-)",deprecate,build-1
citrix,fuel-plugin-xenserver,http://github.com/openstack/fuel-plugin-xenserver/commit/fcb67390834d8bda86567824572fed723a41042f,fcb67390834d8bda86567824572fed723a41042f,Use platform version to determine compatibility,Change-Id: I75ae8d5dbfa1c8cc10d444674a1be03fb8a178cd," 4 files changed, 10 insertions(+), 10 deletions(-)",,deploy-4
independent,surveil,http://github.com/openstack/surveil/commit/60953e86e783c2e33575d1ff0d23e224482a94f9,60953e86e783c2e33575d1ff0d23e224482a94f9,pack_upload.py: Import Alignak instead of Shinken,Change-Id: I75afd6f162893bbaffb6fd7fcfe45e82761954fe," 1 file changed, 1 insertion(+), 1 deletion(-)",,code-1
dell,fuel-ccp,http://github.com/openstack/fuel-ccp/commit/0e29411f51a15e03ed4c5ef6a037058d5490161a,0e29411f51a15e03ed4c5ef6a037058d5490161a,Small improvement to build tool logs,Change-Id: I76fda4597ef67e19cc39b888da8e23d64eb31280," 1 file changed, 2 insertions(+), 2 deletions(-)",,code-1
at&t,python-tatuclient,http://github.com/openstack/python-tatuclient/commit/5ac063eba3354f013ad0ade963c6fb31fec3b66c,5ac063eba3354f013ad0ade963c6fb31fec3b66c,Update designate cli page with more examples Closes-Bug: #1578207,Change-Id: I775e12510b0705e8ab797bf34e9b38d4853e65c1," 1 file changed, 112 insertions(+), 1 deletion(-)",fix,doc-1
kylin cloud,bilean,http://github.com/openstack/bilean/commit/f0d0a1403afbda04284ecdf7e3f25e4a536195dc,f0d0a1403afbda04284ecdf7e3f25e4a536195dc,Separate consumption and recharge from event,Change-Id: I77d8ae8952f8a436105277f13ca469ea7130aa97," 17 files changed, 866 insertions(+), 271 deletions(-)",,code-17
datacentred,api-site,http://github.com/openstack/api-site/commit/ec10cb70ffcd95fe717b8f195e4154cdebb73014,ec10cb70ffcd95fe717b8f195e4154cdebb73014,Unused security group - controller.,Change-Id: I784267b244910773af1344a87f328a0463ca3eb7," 2 files changed, 5 insertions(+), 2 deletions(-)",,deploy-1
mirantis,sahara-image-elements,http://github.com/openstack/sahara-image-elements/commit/497e4bb6dee0de604e02990a878aec7119605c1c,497e4bb6dee0de604e02990a878aec7119605c1c,remove hdp from elements,Change-Id: I7dbd6b003a7f333673004bb29141b06ace604191blueprint: remove-hdp206," 15 files changed, 46 insertions(+), 512 deletions(-)",deprecate;feature,doc-2;unknown-11;deploy-2
lsd ufcg,puppet-openstack-guide,http://github.com/openstack/puppet-openstack-guide/commit/14c69e6c4a96b30a027da78f1904765cf8127b4b,14c69e6c4a96b30a027da78f1904765cf8127b4b,Move Meeting #91 to September,Change-Id: I7e5ca2532ddeabeff0ce3870d289afa9b7776e12," 1 file changed, 4 insertions(+), 4 deletions(-)",,doc-1
easystack,heat,http://github.com/openstack/heat/commit/9a768ce5c9d9dcd80ea38773ac240b28188bf7d2,9a768ce5c9d9dcd80ea38773ac240b28188bf7d2,Correct mistaken parameters of test_hacking.py in tests,Change-Id: I7f3ba21507ab7f72ce8434106aa6bed1d8647f2f," 1 file changed, 3 insertions(+), 3 deletions(-)",,test-1
lsd ufcg,puppet-openstack-guide,http://github.com/openstack/puppet-openstack-guide/commit/ebdec81a00315dd7999e22f2c460f0478d8b8613,ebdec81a00315dd7999e22f2c460f0478d8b8613,Move meeting #91,Change-Id: I7fb4342d6f220f7bb2e9ab3d95fdf16e65fccff2," 1 file changed, 4 insertions(+), 4 deletions(-)",,doc-1
dell,ec2api-tempest-plugin,http://github.com/openstack/ec2api-tempest-plugin/commit/78b562f2abddff64a7259b9fa4180a3df11a1a1b,78b562f2abddff64a7259b9fa4180a3df11a1a1b,restore configuring bundled image in s3,Change-Id: I8018fc5a467e5be83b6d2cbd58b6c9d8744a9421," 2 files changed, 15 insertions(+), 3 deletions(-)",,test-2
internap,almanach,http://github.com/openstack/almanach/commit/4f9fe41f5105ee8be03a6efd51a92e7a624176f4,4f9fe41f5105ee8be03a6efd51a92e7a624176f4,Convert Markdown to reStructuredText format,Change-Id: I8094a23cc6d32c6fc280b89a2633dd80b001398a," 4 files changed, 265 insertions(+), 232 deletions(-)",,doc-3;deploy-1
hp,security-doc,http://github.com/openstack/security-doc/commit/4eaabf273bf5edc2aedaaebaecf094a971ce93b6,4eaabf273bf5edc2aedaaebaecf094a971ce93b6,Adding OSSN-0046 Pecan Debug,Change-Id: I80fdd72c43d75dd62ceaff05937b6014f28ffde0," 1 file changed, 2 insertions(+), 2 deletions(-)",fix,unknown-1
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/d1f5de1e0d776d0529c35306410a13312e704748,d1f5de1e0d776d0529c35306410a13312e704748,[config-ref] Update ceilometer tables,Change-Id: I81a4cc18a76b0ed8417825e8d6c3a9178ee026e6," 10 files changed, 179 insertions(+), 44 deletions(-)",,doc-9;unknown-1
tcp cloud,salt-formula-glance,http://github.com/openstack/salt-formula-glance/commit/b6280babbf50ed1032d352fb1ae1f77bd8e7584a,b6280babbf50ed1032d352fb1ae1f77bd8e7584a,Manage permissions on filesystem store,Change-Id: I822c4e7e134f4e81ead5fe0331bbc12ebe45bf25," 1 file changed, 4 insertions(+), 5 deletions(-)",,unknown-1
nokia,vitrage,http://github.com/openstack/vitrage/commit/1c6a443a313282c20e52593b4bba21c209eaf6fa,1c6a443a313282c20e52593b4bba21c209eaf6fa,Added positive filtering (specific event types to get notified about) and removed negative filtering,Change-Id: I828212b8cd05e14d8c2cff0d5aaacb6cd0d1f888," 2 files changed, 30 insertions(+), 37 deletions(-)",deprecate,code-2
tcp cloud,salt-formula-nova,http://github.com/openstack/salt-formula-nova/commit/a82b8205776b54739e2973e19dff091d4965d645,a82b8205776b54739e2973e19dff091d4965d645,[RabbitMQ] Removed deprecated ha_queue option.,Change-Id: I835362c728c0176d20e4673e169f59ceb40c3560," 2 files changed, 2 deletions(-)",deprecate,test-1;deploy-1
mirantis,tacker-horizon,http://github.com/openstack/tacker-horizon/commit/633da128972529433e1a531ff5fcf1f57c281a66,633da128972529433e1a531ff5fcf1f57c281a66,Hide unnecessary fields based on Loadbalancer Monitor type,Change-Id: I83a56c8067af8f6ec87d89192156658232ad87cfFixes: bug 1152138," 1 file changed, 6 insertions(+), 4 deletions(-)",fix,code-1
charter,monasca-agent,http://github.com/openstack/monasca-agent/commit/0c27046fbe927fb0383fe4bbe86a64767cd7615a,0c27046fbe927fb0383fe4bbe86a64767cd7615a,Change cpu load averages to be normalized by core count,Change-Id: I856eb41f9c4fa7bccfada29e7ec4be715b4ab5b5," 2 files changed, 14 insertions(+), 7 deletions(-)",,doc-1;code-1
awcloud,dragonflow,http://github.com/openstack/dragonflow/commit/fdd8a685db95e7d069828628817fc7902f303e1a,fdd8a685db95e7d069828628817fc7902f303e1a,Remove useless parameters and spaces in devstack scripts,Change-Id: I8649941f4fc569db3a55afb1aa48ecedb814d9a6," 2 files changed, 7 insertions(+), 9 deletions(-)",deprecate,deploy-2
mirantis,murano-dashboard,http://github.com/openstack/murano-dashboard/commit/d0714d58966fb82fa879981e80f6c7e5630e21e1,d0714d58966fb82fa879981e80f6c7e5630e21e1,Fix issues with namings,Change-Id: I86a2352fd936991552e9e4355a997c3b479f3f8a," 1 file changed, 1 insertion(+), 1 deletion(-)",fix,code-1
mellanox,fuel-plugin-mellanox,http://github.com/openstack/fuel-plugin-mellanox/commit/336e3abb87f44bd4ce31764b60423312383179a6,336e3abb87f44bd4ce31764b60423312383179a6,Remove pre OFED serializers and enable IB,Change-Id: I8c8d066bd5622712b276f1329213c7599464f483," 3 files changed, 15 insertions(+), 27 deletions(-)",deprecate,deploy-3
mirantis,fuel-octane,http://github.com/openstack/fuel-octane/commit/8c93b2f06ce3801b9b5c14316d5c627e1bd958cd,8c93b2f06ce3801b9b5c14316d5c627e1bd958cd,Fix rpm requirements Use version var instead hardcode,Change-Id: I96423be016d26602718ffb1423bd616cb9d5d0d9Conflicts:specs/octane.spec," 1 file changed, 14 insertions(+), 11 deletions(-)",fix,unknown-1
independent,puppet-openstack-integration,http://github.com/openstack/puppet-openstack-integration/commit/8e9c4794ce9f8c017519785ee9851fb97ca363b4,8e9c4794ce9f8c017519785ee9851fb97ca363b4,Add 3 retries when the installation fails for lint test,Change-Id: I9ae31a3934d10eb37509f9889381377cef94df0a," 1 file changed, 1 insertion(+), 1 deletion(-)",fix,test-1
cisco systems,magnum,http://github.com/openstack/magnum/commit/316089d2b3c3d631754b085de62ab775cf292631,316089d2b3c3d631754b085de62ab775cf292631,Fix typos in resource-quotas.rst,Change-Id: I9b405676b3c6c21c0372feca1b352455d965f25b," 1 file changed, 3 insertions(+), 3 deletions(-)",fix,doc-1
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/682daef57505c4cb4e01d7c7e7bc8fb2b84d7491,682daef57505c4cb4e01d7c7e7bc8fb2b84d7491,[cli-ref] Update python-ceilometerclient to 2.6.1,Change-Id: I9c01338fe7727e421dbce851552d4bd4cb31321c," 1 file changed, 2 insertions(+), 2 deletions(-)",,doc-1
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/2a2b903c4f95408e0b76e1f2f746837d874ceba8,2a2b903c4f95408e0b76e1f2f746837d874ceba8,[config-ref] Update manila sample configuration file,Change-Id: I9d4fbaa58265815a49ac3f150cc946355927e2d3," 1 file changed, 701 insertions(+), 193 deletions(-)",,doc-1
dell,fuel-ccp,http://github.com/openstack/fuel-ccp/commit/102a2e1d0aa9a233d0f5137b542f1242c6f3401b,102a2e1d0aa9a233d0f5137b542f1242c6f3401b,Replacing kubectl with python-k8sclient,Change-Id: I9db5c2e72a4a25c08cd70c1278fff1b0a5c6fb11," 7 files changed, 231 insertions(+), 54 deletions(-)",refactor,test-3;code-3;build-1
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/72d97538cd4c36585de6b3248a42ca904485e622,72d97538cd4c36585de6b3248a42ca904485e622,[cli-ref] Update python-muranoclient to 0.11.0,Change-Id: I9dde8a346acca4167fd75fff800d66d49402a6db," 1 file changed, 1 insertion(+), 1 deletion(-)",,doc-1
mellanox,networking-mlnx,http://github.com/openstack/networking-mlnx/commit/f13a5f55fe09434136dc2f9790b4895bb5652747,f13a5f55fe09434136dc2f9790b4895bb5652747,catch login exception in jouranl,Change-Id: I9eb9aba7d97f266364bb42a949a9ba097f5b9436," 1 file changed, 2 insertions(+), 2 deletions(-)",,code-1
sap,ceilometer,http://github.com/openstack/ceilometer/commit/8e870b18282b67c75943225d35baca22d5510ebe,8e870b18282b67c75943225d35baca22d5510ebe,HTTP Dispatcher: Post event data as JSON & improve logging,Change-Id: Ia0e6ba97a3257fe305e424894507fb2d3e7c8d17," 2 files changed, 59 insertions(+), 32 deletions(-)",,test-1;code-1
huawei,mogan,http://github.com/openstack/mogan/commit/6dd992f3679f25f9e0ddcca469f12ed6cbde1ef5,6dd992f3679f25f9e0ddcca469f12ed6cbde1ef5,Fix exception message format error,Change-Id: Ia3df660fcba4c50c27a38388fbc65a4d6fbed262," 4 files changed, 52 insertions(+), 52 deletions(-)",fix,test-1;code-3
infinite computer solution,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/e1a58c9a3ee8a6c64dfc4c1f9139a909f77649dc,e1a58c9a3ee8a6c64dfc4c1f9139a909f77649dc,[config-ref] Update trove tables,Change-Id: Ia436547660b899d1393adb124a636a6cbb2e1338," 30 files changed, 282 insertions(+), 116 deletions(-)",,doc-29;unknown-1
fujitsu,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/775a3ada8ce255c3c15f6798ac0f18147b4bf3f4,775a3ada8ce255c3c15f6798ac0f18147b4bf3f4,[arch-design] remove unnecessary period,Change-Id: Ia65c750a0084633761b407d4e151d5bb64b2fc48," 1 file changed, 1 insertion(+), 1 deletion(-)",deprecate,doc-1
cisco systems,neutron,http://github.com/openstack/neutron/commit/3a1ae432ac1c2c17d0613de27ac89c282eae8535,3a1ae432ac1c2c17d0613de27ac89c282eae8535,Add ops tag to bugs policy,Change-Id: Ia7435e3c2e9bd021b1966c811a41775cbf39c543," 1 file changed, 3 insertions(+), 3 deletions(-)",fix,doc-1
nokia,vitrage,http://github.com/openstack/vitrage/commit/c4a4a4eb11103de445dadad61d050579d29fa9f4,c4a4a4eb11103de445dadad61d050579d29fa9f4,Enable heat tempests,Change-Id: Ia9ce9aa2574eba5f48244e1e6897c565b32d92b5," 6 files changed, 109 insertions(+), 14 deletions(-)",,test-4;code-1;deploy-1
openstack foundation,requirements,http://github.com/openstack/requirements/commit/65161cbf9fc8488a55ca3846026b91a5b172b0df,65161cbf9fc8488a55ca3846026b91a5b172b0df,update constraint for python-ironic-inspector-client to new release 1.9.0,Change-Id: Iaa287f63eec16507ee41fe58dae885d7681df9da," 1 file changed, 1 insertion(+), 1 deletion(-)",,doc-1
switch,puppet-keystone,http://github.com/openstack/puppet-keystone/commit/c2120037867892151518a9d30406ea7ba3627c6a,c2120037867892151518a9d30406ea7ba3627c6a,Fix wrong handling of disabled users because of typo,Change-Id: Iabe91f6a7c1c1e0fbd294a31601aebd24e4dfe1eRelated-bug: #1588342," 1 file changed, 1 insertion(+), 1 deletion(-)",fix,deploy-1
swiftstack,fuel-plugin-swiftstack,http://github.com/openstack/fuel-plugin-swiftstack/commit/f4b37059c5bd4ee2b9f120edc464a4a9ce9da6a5,f4b37059c5bd4ee2b9f120edc464a4a9ce9da6a5,Restructure documents and add test-plan/test-report.,Change-Id: Iac9bf7257bb41084a56aa282c568179f1f911da2Closes-Bug: 1591242," 32 files changed, 1066 insertions(+), 29 deletions(-)",fix,test-4;doc-28
